"Thai","Vietnamese","POS_Tags_Thai"
"ꪙꪾ꫁ ꪚ꪿ꪮꪙ ꪹꪔꪷ꫁ꪙ ꪚ꪿ꪮꪙ ꪹꪩꪷ꫁ꪀ","nước chỗ nông chỗ sâu","đg. d. cxđ. d. cxđ."
"ꪹꪕꪷꪙ ꪹꪎꪷ꪿ꪀ","trấn địch","cxđ. cxđ."
"ꪹꪕꪷꪙ ꪕꪱꪉ ꪵꪒꪙ ꪹꪣꪉ","trấn ngự biên cương","cxđ. cxđ."
"ꪙꪴ꪿ꪉ ꪹꪎ꫁ ꪵꪄꪙ ꪹꪔꪷ꪿ꪉ","mặc áo ống tay lụng thụng","cxđ. d. d. cxđ."
"ꪻꪚ ꪬꪴ ꪹꪔꪷ꪿ꪉ","cái tai to bản","d. d. cxđ."
"ꪙꪴ꪿ꪉ ꪎ꫁ꪺꪉ ꪀ꫁ꪫꪱꪉ ꪹꪔꪷ꪿ꪉ ꪹꪔꪷ","mặc quần rộng thùng thình","cxđ. cxđ. đg. cxđ."
"ꪹꪔꪷ꪿ꪉ ꪹꪔꪷ ꪼꪜ ꪮꪲ꫁ꪙ","thủng thẳng đi chơi","cxđ. cxđ. đg."
"ꪹꪕꪷꪚ ꪊꪸ꫁ ꪚ꪿ꪱꪫ","tập giấy báo","cxđ. cxđ. d."
"ꪮꪮꪀ ꪵꪭꪉ ꪹꪕꪷꪚ ꪕꪳ","ra sức luyện tập","cxđ. cxđ."
"ꪹꪔꪷꪒ ꪹꪙꪷ꫁","xoá nợ","t. đg."
"ꪎꪮꪉ ꪠ꪿ꪱꪥ ꪕꪾꪚ ꪹꪔꪷꪒ ꪀꪽ","hai bên đánh hoà nhau","cxđ. cxđ. t. d."
"ꪙꪾ꫁ ꪄꪱꪒ ꪹꪔꪷꪒ","nước cạn rái","đg. t."
"ꪹꪄꪱ꫁ ꪄꪱꪒ ꪹꪔꪷꪒ","gạo cạn sạch","d. t."
"ꪤ꪿ꪱꪉ ꪹꪄꪱ꫁ ꪔꪴ","bước vào cửa","đg. d. d."
"ꪔꪴ ꪩꪱꪒ","cổng chợ","d. đg."
"ꪔꪴ ꪮ꪿ꪱꪥ ꪕꪱꪉ ꪼꪀ","cửa ải xa xôi","cxđ. cxđ. d."
"ꪔꪴ ꪹꪎ꫁ ꪚ꫁ꪱꪙ","cửa cấm của bản","cxđ. d."
"ꪔꪴ꫁ ꪝꪾꪚ ꪎꪳ","tủ sách","cxđ. cxđ."
"* ꪼꪣ꫁ ꪵꪨꪣ ꪹꪚꪱ꪿ ꪕꪷ꪿ ꪹꪨꪸ꪿ꪀ ꪕꪴ꫁","cây nhọn không bằng sắt tù","SYM d. cxđ. cxđ. k. d. cxđ."
"ꪜꪰꪀ ꪕꪴ꫁ ꪭ꫁ꪺ","cắm cọc rào","cxđ. cxđ."
"ꪔꪺ ꪭꪮꪒ ꪫꪸꪀ ꪹꪀꪱ꪿","nhắc đến chuyện cũ","cxđ. .ctxđ d. cxđ."
"ꪼꪜ ꪕ꪿ꪺ ꪶꪠ꪿","đi khắp phố","cxđ. cxđ. cxđ."
"ꪏꪮꪀ ꪕ꪿ꪺ ꪹꪢꪸꪒ","tìm khắp cả","cxđ. cxđ."
"ꪔꪴ꪿ꪀ ꪹꪚꪸꪒ","câu cá","cxđ. d."
"ꪔꪴ꪿ꪀ ꪜꪱ","đánh cá","cxđ. đg."
"ꪭꪷ꫁ ꪏꪮꪉ ꪣꪱ ꪕꪴ꫁ꪀ ꪹꪢꪸꪒ","họ hàng đến đủ cả","cxđ. đg. cxđ. cxđ."
"ꪎꪺꪙ ꪹꪭꪀ ꪕꪴ꫁ꪀ ꪝꪷ","vườn tược đầy đủ","cxđ. cxđ."
"ꪔꪴ꪿ꪥ ꪵꪡ","cặp bài lá","cxđ. cxđ."
"ꪁꪺꪙ ꪔꪴ꫁ꪥ ꪄꪳ꫁ꪙ","khói ngút lên","d. cxđ. cxđ."
"ꪁꪺꪙ ꪼꪡ ꪮꪮꪀ ꪔꪴ꫁ꪥ ꪔꪴ꫁ꪥ","khói lửa bốc nghi ngút","d. d. đg. cxđ."
"ꪵꪎ ꪵꪩ꪿ꪙ ꪕꪱꪉ ꪒꪲꪙ ꪶꪠꪉ ꪔꪴ꫁ꪥ ꪔꪴ꫁ꪥ","xe chạy trên đường đất bụi mù mịt","đg. cxđ. cxđ. d. cxđ."
"ꪶꪩ꫁ꪣ ꪔꪱ ꪔꪴꪣ","ngã mắt sưng húp","cxđ. d. cxđ."
"ꪹꪜꪸꪙ ꪔꪴ꪿ꪣ ꪘꪰ꫁ꪉ ꪘ꫁ꪱ","lên mụn ở mặt","t. cxđ. cxđ. đg."
"ꪬꪺ ꪔꪴ꪿ꪣ ꪠꪱ","đụng đầu vào tường","d. cxđ. cxđ."
"ꪶꪎ꫁ꪙ ꪔꪴ꪿ꪣ ꪠꪲ","nặn nhọt","cxđ. cxđ."
"ꪶꪙꪣ ꪔꪴ꪿ꪣ ꪔ꫁ꪱꪉ","vú chum chúm","cxđ. cxđ."
"ꪔꪴ꫁ꪣ ꪶꪙ꫁ꪀ","lồng chim","cxđ. cxđ."
"ꪔꪴ꫁ꪣ ꪶꪀ꪿ꪀ ꪼꪣ꫁","vun gốc cây","cxđ. d."
"ꪔꪴ꫁ꪣ ꪢꪷ꫁ ꪹꪄꪱ꫁","ủ nồi cơm","cxđ. d. d."
"ꪔꪴ꫁ꪣ ꪶꪀ꪿ꪀ ꪀꪷ ꪀ꫁ꪺꪥ","vun gốc cây chuối","cxđ. d. d."
"ꪔꪴ꫁ꪣ ꪝꪺ ꪩꪴꪀ ꪨꪱꪙ","đùm bọc con cháu","cxđ. cxđ."
"ꪔꪴ꫁ꪣ ꪵꪔ꪿ꪉ ꪻꪬ꫁ ꪩꪴꪀ ꪨꪱꪙ","vun đắp cho con cái","cxđ. cxđ. cxđ."
"ꪔꪴ꫁ꪣ ꪶꪕꪣ ꪎꪺꪙ ꪠꪰꪀ","vun bón vườn rau","cxđ. cxđ. d."
"ꪕꪴꪣ ꪘꪱꪣ","bụi gai","cxđ. .ctxđ"
"ꪶꪀ꪿ꪀ ꪀꪷ ꪨꪮꪒ ꪕꪴꪣ ꪹꪕ","gốc cây nhót xum xuê","d. d. cxđ."
"ꪕꪴ꪿ꪣ ꪙꪾ꫁","khuấy nước","cxđ. đg."
"ꪎꪸꪉ ꪶꪀ꪿ꪉ ꪙꪽ ꪕꪴ꪿ꪣ ꪕꪴ꪿ꪣ","tiếng trống tùng tùng","cxđ. d. cxđ. cxđ."
"ꪝꪱꪙ ꪕꪴꪙ ꪠꪱ","bàn sát tường","d. cxđ. cxđ."
"ꪎꪾꪚ ꪹꪕꪱ꫁ ꪕꪴꪙ","đuổi đến cùng","cxđ. cxđ. cxđ."
"ꪕꪴꪙ ꪊꪰ꪿ꪉ ꪼꪜ ꪀꪴ꫁","bí mới đi vay","cxđ. cxđ. cxđ. d."
"ꪕꪴꪙ ꪻꪊ ꪊꪰ꪿ꪉ ꪄꪱꪥ ꪹꪭꪙ","cùng quẫn mới bán nhà","cxđ. cxđ. đg. d."
"ꪹꪎꪷ꪿ꪀ ꪕꪴꪙ ꪵꪭꪉ","địch cùng kế","cxđ. cxđ."
"ꪼꪜ ꪕꪴꪙ ꪡ꫁ꪱ ꪁꪷ꫁ ꪹꪚꪱ꪿ ꪹꪬꪸꪙ","đi cùng trời cũng không thấy","cxđ. cxđ. p. cxđ. đg."
"ꪕꪴꪙ ꪔꪱꪥ ꪊꪰ꪿ꪉ ꪤꪴ꪿ ꪹꪑꪷ","cực chẳng đã mới ở nhờ","cxđ. cxđ. p. cxđ."
"ꪕꪴꪙ ꪔꪱꪥ ꪊꪰ꪿ꪉ ꪼꪜ ꪀꪲꪙ ꪊ꫁ꪱꪉ","cùng cực mới đi làm thuê","cxđ. cxđ. cxđ. cxđ."
"ꪕꪴꪙ ꪕꪱꪉ ꪼꪒ꫁ ꪁꪳꪙ ꪣꪱ","cùng đường phải quay về","cxđ. t. d. đg."
"ꪕꪴꪙ ꪵꪕ꫁ ꪊꪰ꪿ꪉ ꪀꪴ꫁ ꪁꪾ꫁","cùng  ra mới vay mượn","cxđ. cxđ. đg."
"ꪡꪮꪉ ꪕꪴ꪿ꪙ","lặng sóng","t. cxđ."
"ꪔꪴ꪿ꪉ ꪹꪉꪷꪙ","túng tiền","cxđ. đg."
"* ꪔꪴ꪿ꪉ ꪔꪴ꫁ ꪔꪴ꪿ꪉ ꪔ꪿ꪱꪉ","lủng ca lủng củng","SYM cxđ. cxđ. cxđ."
"ꪔꪴ꪿ꪉ ꪔ꪿ꪱꪫ ꪬꪺ ꪻꪊ","gan ruột rối bời","cxđ. cxđ."
"ꪘ꫁ꪱ ꪔꪴ꪿ꪉ ꪔꪲ꪿ꪉ ꪜꪱꪙ ꪎꪱꪫ","mặt đỏ ửng như  gái","đg. cxđ. t. t."
"ꪕꪴ꪿ꪉ ꪹꪎꪷ꪿ꪀ","căn cứ địch","cxđ. cxđ."
"ꪕꪴ꪿ꪉ ꪁꪺꪙ ꪬꪸꪒ","điếu ống thuốc lào","cxđ. d."
"ꪕꪴ꫁ꪉ ꪢꪱꪀ ꪀꪸ꫁ꪉ","chọc quả cam","cxđ. cxđ."
"ꪔ꫁ꪺꪥ ꪏꪱꪫ ꪜꪲ","tuổi hai mưỡi","t. cxđ. d."
"ꪕ꪿ꪺꪥ ꪶꪩꪣ","ngớt gió","cxđ. d."
"ꪕ꪿ꪺꪥ ꪜꪴꪒ","nguôi giận","cxđ. cxđ."
"ꪕꪺꪙ ꪹꪩꪱ","bông lau","cxđ. đg."
"ꪕꪺꪙ ꪒꪲ꪿ꪙ ꪮꪺꪙ ꪕꪱꪉ","bó đuốc soi đường","cxđ. cxđ. cxđ."
"ꪔ꪿ꪺꪉ ꪗꪴꪉ","quai thùng","cxđ. cxđ."
"ꪕꪮꪒ ꪔ꪿ꪺꪉ ꪅ꫁ꪺꪉ ꪻꪎ꪿ ꪁꪷ","quăng thòng lọng vào cổ","d. cxđ. cxđ. d."
"ꪕ꫁ꪺꪉ ꪶꪁꪙ ꪀꪱꪥ ꪕꪱꪉ","lên tiếng hỏi người qua đường","cxđ. d. t. cxđ."
"ꪹꪬꪸꪙ ꪉꪴ ꪼꪀ꪿ ꪕ꫁ꪺꪉ ꪄꪳ꫁ꪙ","thấy rắn gà cất tiếng kêu lên","đg. cxđ. d. cxđ. cxđ."
"ꪔꪰ꫁ꪉ ꪔꪴꪚ","dựng túp; dựng lều","đg. cxđ."
"ꪣꪴꪉ ꪕꪴꪚ","lợp đầu hồi","cxđ. cxđ."
"ꪕꪳ ꪣꪴ꫁","đội mũ","cxđ. d."
"* ꪹꪄꪱ꫁ ꪣꪱꪀ ꪢꪱꪀ ꪕꪳ","thóc chắc  quả đậu","SYM d. cxđ. cxđ. cxđ."
"ꪕꪳ ꪎꪰꪉ ꪝꪳꪉ ꪮꪽ ꪹꪩꪸ꫁ꪀ ꪙ꫁ꪮꪥ","kể gì những cái nhỏ mọn","cxđ. p. cxđ. d. cxđ."
"ꪜꪱꪀ ꪹꪫꪱ꫁ ꪵꪙꪫ ꪙ꫁ꪽ ꪕꪳ ꪒ꪿ꪱ ꪻꪎ꪿","nói như thế coi như chửi người ta","cxđ. cxđ. cxđ. cxđ. cxđ."
"ꪫꪸꪀ ꪹꪒꪸ꪿ꪀ ꪙ꫁ꪮꪥ ꪹꪎꪱ꪿ ꪹꪚꪱ꪿ ꪕꪳ","chuyện trẻ con người ta không chấp","d. cxđ. cxđ. cxđ. cxđ."
"ꪹꪚꪙ ꪕꪳ ꪀꪴꪚ ꪹꪨꪸ꪿ꪀ ꪙꪾ꫁ ꪙꪮꪉ","trăng quầng thì nước lũ; trăng quầng thì mưa","d. cxđ. cxđ."
"ꪹꪚꪙ ꪕꪳ ꪀꪴꪚ ꪕꪮꪉ ꪡ꫁ꪱ ꪵꪩ꫁ꪉ","trăng tán thì trời hạn; trăng tán thì nắng","d. cxđ. d. cxđ."
"ꪚꪮꪀ ꪶꪁꪙ ꪼꪜ ꪕꪳ ꪁꪳꪙ","cử người đi trực đêm","đg. d. cxđ. cxđ."
"ꪩꪴꪀ ꪕꪳ ꪹꪭꪙ","con kế tự","cxđ. cxđ."
"ꪠꪲ ꪕꪳ ꪹꪣꪱ","ma nhập vào; ma ám","d. cxđ."
"ꪹꪚꪱ꪿ ꪕꪳ ꪹꪕꪉ ꪠꪴ꫁ ꪹꪚꪱ꪿ ꪭꪴ꫁ ꪈꪾ꪿","không chấp nhặt kẻ không biết điều","cxđ. cxđ. cxđ. cxđ. đg. cxđ."
"ꪕꪳ ꪕ꪿ꪱꪉ ꪹꪥꪸꪒ ꪀꪲꪙ","tự do làm ăn","cxđ. UNK cxđ. d."
"ꪹꪕ꪿ ꪨꪰꪉ","lần sau; bận sau","cxđ. đg."
"ꪼꪜ ꪹꪕ ꪶꪁꪙ","đi từng người","cxđ. cxđ. d."
"ꪑ꪿ꪱꪉ ꪹꪕ꪿ ꪚꪱꪒ","bước từng bước","cxđ. cxđ."
"ꪹꪉꪷꪙ ꪻꪬ꫁ ꪹꪕ꪿ ꪙ꫁ꪮꪥ","tiền cho nhỏ giọt","đg. cxđ. cxđ."
"ꪹꪥꪸꪒ ꪹꪕ꪿ ꪙ꫁ꪮꪥ","làm từng ít một","cxđ. cxđ."
"ꪔꪳ꪿ꪀ ꪀꪽ ꪼꪜ ꪹꪥꪸꪒ","thúc nhau đi làm","cxđ. d. cxđ. cxđ."
"ꪔꪳ꪿ꪀ ꪹꪔ꫁ꪥ ꪩꪴꪀ","nuông con","cxđ. cxđ."
"ꪶꪁꪙ ꪒꪲ ꪕꪳ꫁ꪀ ꪕꪷ꪿ ꪙ꫁ꪽ","người tốt đến thế là cùng","d. d. cxđ. cxđ."
"ꪕꪳ꫁ꪀ ꪊꪮꪣ ꪝꪴ","tột đỉnh núi","cxđ. cxđ. cxđ."
"ꪬꪺ ꪻꪊ ꪔꪾ ꪹꪄꪱ꫁ ꪕꪳ꫁ꪀ ꪕꪳ꫁ꪀ","trống tim đập thình thình","cxđ. cxđ. d. cxđ. cxđ."
"ꪤꪱ ꪔꪳꪀ","thuốc tẩy giun","cxđ. cxđ."
"* ꪔꪳ꪿ꪣ ꪶꪁꪙ ꪔꪳ꪿ꪣ ꪵꪭꪉ","thêm người thêm sức","SYM cxđ. d. cxđ. d."
"ꪔꪳ꪿ꪣ ꪵꪕꪙ ꪻꪎ꪿ ꪹꪜꪸꪙ ꪨꪱꪥ ꪁꪫꪱꪣ","thêm thắt vào  thành lắm chuyện","cxđ. cxđ. cxđ. t. cxđ. đg."
"ꪔꪳ꪿ꪣ ꪵꪕꪙ ꪝꪰꪀ ꪵꪭꪉ","tăng thêm sức mạnh","cxđ. cxđ. cxđ."
"ꪼꪒ꫁ ꪀꪲ꫁ ꪢꪽ ꪔꪳ꪿ꪣ ꪵꪕꪙ","vớt vát được mấy đồng","t. cxđ. cxđ. cxđ. cxđ."
"ꪔꪳ꪿ꪣ ꪵꪕꪙ ꪊꪸ꫁ ꪩꪱꪥ","bổ sung giấy tờ","cxđ. cxđ. cxđ."
"* ꪙꪮꪙ ꪒꪳ꪿ꪀ ꪔꪳ꪿ꪙ ꪹꪋꪱ꫁","thứckhuya dậy sớm","SYM cxđ. cxđ. cxđ."
"ꪻꪠ ꪑꪰꪉ ꪙꪰ꪿ꪉ ꪨꪷ꫁ ꪔꪳ꪿ꪙ ꪄꪳ꫁ꪙ","ai đang ngồi thì đứng lên","cxđ. cxđ. cxđ. cxđ. cxđ."
"ꪵꪜ꫁ꪉ ꪹꪨꪱ꫁ ꪔꪳ꪿ꪙ ꪮꪱꪥ","men rượu dậy mùi","cxđ. cxđ. cxđ."
"ꪔꪳ꪿ꪙ ꪚ꪿ꪮꪙ ꪹꪬꪱ꫁ ꪠꪴ꫁ ꪹꪖꪱ꫁ ꪙꪰ꪿ꪉ","nhường chỗ cho người già ngồi","cxđ. cxđ. cxđ. đ. cxđ."
"ꪹꪥꪸꪒ ꪵꪔ꪿ ꪔꪳ꪿ꪙ ꪹꪋꪱ꫁","làm từ buổi sáng","cxđ. cxđ. cxđ."
"ꪮꪮꪀ ꪕꪱꪉ ꪵꪔ꪿ ꪔꪳ꪿ꪙ ꪹꪋꪱ꫁","lên đường từ sáng sớm","đg. cxđ. cxđ. cxđ."
"ꪒꪱꪉ ꪙꪮꪙ ꪔꪳ꪿ꪙ ꪭꪳ꫁ ꪄꪳ꫁ꪙ","đang ngủ vùng dậy","cxđ. cxđ. cxđ. cxđ."
"ꪒꪱꪉ ꪙꪰ꪿ꪉ ꪔꪳ꪿ꪙ ꪄꪳ꫁ꪙ","đang ngồi đứng lên; đang ngồi đứng dậy","cxđ. cxđ. cxđ."
"ꪔꪳ꪿ꪙ ꪄꪳ꫁ꪙ ꪔꪷ꪿ ꪶꪏꪙ","vùng lên đấu tranh","cxđ. cxđ."
"ꪣ꫁ꪮꪙ ꪔꪳ꪿ꪙ ꪨꪺꪉ","tằm ăn rỗi","d. cxđ."
"ꪶꪀ꪿ ꪔꪳ꪿ꪙ ꪙꪰ꪿ꪉ","cố gượng dậy","đg. cxđ."
"ꪕꪳ꫁ꪙ ꪠ꫁ꪱ ꪶꪨꪚ ꪹꪎ꪿ ꪮꪮꪀ","lột vải giải đệm ra","cxđ. cxđ. cxđ. đg."
"ꪕꪳ꫁ꪙ ꪡꪱꪀ ꪹꪥꪉ","giỡ giát giường","cxđ. cxđ. cxđ."
"ꪕꪳ꫁ꪙ ꪀꪮꪉ ꪹꪡꪉ","xáo đống rơm","cxđ. t. d."
"ꪶꪩꪣ ꪨꪺꪉ ꪕꪳ꫁ꪙ ꪼꪋ ꪁꪱ","bão trốc mái nhà","d. d. cxđ. cxđ."
"ꪕꪳ꫁ꪙ ꪹꪕꪸ ꪀꪮꪉ ꪭ꫁ꪱ","bới xáo đống  rác","cxđ. d."
"ꪔꪳꪉ ꪭ꫁ꪺ ꪎꪺꪙ","chằn phên rào","cxđ. d. cxđ."
"ꪔꪳꪉ ꪜꪸ꪿ꪉ ꪘꪰꪉ ꪉꪺ ꪮꪮꪀ","căng miếng da bò ra","cxđ. cxđ. cxđ. cxđ. đg."
"ꪔꪳꪉ ꪭꪱꪥ","nong giày","cxđ. cxđ."
"ꪹꪚꪷꪣ ꪚ꪿ꪮꪉ ꪔꪳ꪿ꪉ","bơm căng bóng","UNK đg. cxđ."
"ꪢꪱꪀ ꪀꪸ꫁ꪉ ꪎꪴ꪿ꪀ ꪔꪳ꪿ꪉ","quả cam chín mọng","cxđ. cxđ. cxđ."
"ꪮꪱꪥ ꪬꪮꪣ ꪔꪳ꪿ꪉ ꪔꪳ꪿ꪉ","mùi thơm ngào ngạt","d. đ. cxđ."
"ꪜꪴꪣ ꪔꪳ꪿ꪉ ꪮꪎꪳꪒ","bụng căng phình","cxđ. cxđ."
"ꪶꪩ꫁ꪣ ꪕꪳ꪿ꪉ ꪶꪩꪉ","ngã bịch xuống","cxđ. cxđ. cxđ."
"ꪭꪲꪣ ꪶꪎꪚ ꪹꪔ꪿ꪥ","trễ môi","cxđ. cxđ."
"ꪹꪔꪀ ꪼꪣ꫁","dọng tre","cxđ. d."
"ꪀꪲꪙ ꪹꪐ꪿ ꪝꪲ ꪨꪱꪥ ꪹꪔ꫁ꪙ","ăn thịt mỡ nhiều ngấy","d. cxđ. d. cxđ. cxđ."
"ꪄꪳ꫁ꪙ ꪹꪀꪷꪚ ꪹꪔ꪿ꪉ","lên cấp tướng","cxđ. đg. cxđ."
"ꪜ꪿ꪱ ꪔꪳꪚ","rừng rậm","d. cxđ."
"ꪔꪳꪚ ꪔ꪿ꪮꪙ ꪹꪐ꪿ ꪎꪽ","lạng miếng thịt thăn","cxđ. cxđ. cxđ. cxđ."
"ꪀꪱꪉ ꪄ꪿ꪺꪉ ꪔꪳꪚ ꪣꪴꪙ ꪐꪲ꪿ꪉ ꪹꪐ꫁","sân ngập ngụa những rác","d. cxđ. cxđ."
"ꪕꪴꪣ ꪼꪣ꫁ ꪔꪳꪚ ꪔꪽ","bụi cây rậm rạp","cxđ. d. cxđ."
"ꪘꪱꪫ ꪕꪳꪚ ꪡꪱ ꪻꪬ꫁ ꪮꪴ꪿ꪙ","rét đắp thêm chăn cho ấm","t. cxđ. cxđ. cxđ. cxđ."
"ꪕꪳꪚ ꪔꪲꪙ ꪀꪾꪚ ꪚ꪿ꪮꪙ","giậm chân tại chỗ","cxđ. d. d."
"ꪎꪸꪉ ꪼꪢ꪿ ꪙꪽ ꪕꪳꪒ ꪕꪳꪒ","tiếng máy kêu sình sịch","cxđ. d. cxđ. cxđ."
"ꪹꪋ꪿ꪉ ꪄꪮꪉ ꪼꪫ꫁ ꪹꪕꪸ꪿-ꪹꪫꪸꪒ ꪹꪕꪸ꪿-ꪹꪫꪸ","đồ đạc để lổng chổng","cxđ. cxđ. cxđ."
"ꪭꪲꪣ ꪶꪎꪚ ꪵꪒꪉ ꪔꪎ꪿ꪮꪥ","môi đỏ chon chót","cxđ. d. cxđ."
"ꪵꪓꪙ ꪒꪸ꫁ꪙ ꪭꪴ꪿ꪉ ꪕꪳ꫁ ꪕꪳ꫁","đèn điện sáng rực","cxđ. d. cxđ."
"ꪔꪲꪙ ꪹꪜꪸꪙ ꪖꪱ","chân bị lở loét","đg. t. cxđ."
"ꪖ꫁ꪱ ꪙ꫁ꪮꪉ ꪤꪴ꪿","đợi em mãi; chờ em mãi","đg. d. p."
"ꪵꪚ꪿ꪙ ꪹꪚꪱ꪿ ꪗ꫁ꪱ ꪎꪰꪀ ꪔꪱꪫ","bắn không trệch phát nào","đg. cxđ. cxđ. cxđ. cxđ."
"* ꪣ꫁ꪱ ꪖ꪿ꪱꪥ ꪮꪱꪙ","ngựa thay yên; bình cũ nước mới","SYM d. cxđ."
"ꪹꪭꪙ ꪤ꫁ꪱꪫ ꪖ꪿ꪱꪥ ꪮꪱꪙ","gia quyến an khang","cxđ. cxđ."
"ꪖ꫁ꪱꪥ ꪹꪄꪱ꫁ ꪩꪱꪚ ꪮꪮꪀ","thải thóc lép ra","cxđ. d. cxđ. đg."
"ꪖ꫁ꪱꪥ ꪊꪳ꪿ꪀ ꪥꪲ꫁ꪀ","sa thải chức dịch","cxđ. cxđ. UNK"
"* ꪹꪕꪸꪉ ꪗꪱꪥ ꪹꪕꪸꪉ ꪵꪀ꫁","vừa đố vừa giảng","SYM cxđ. cxđ. cxđ. đg."
"ꪖꪱꪀ ꪹꪎꪱ ꪹꪭꪙ","đẽo cột nhà","cxđ. cxđ. d."
"ꪵꪚ꪿ꪙ ꪖꪱꪀ ꪜꪲꪀ ꪶꪙ꫁ꪀ ꪼꪜ","bắn sượt qua cánh chim","đg. cxđ. cxđ. cxđ. cxđ."
"ꪎꪮꪉ ꪶꪁꪙ ꪖꪱꪀ ꪀꪽ","hai người choảng nhau","đg. d. cxđ. d."
"ꪠ꫁ꪱꪥ ꪹꪉꪷꪙ ꪶꪤ꪿ꪉ ꪖꪱꪀ ꪖꪲꪀ ꪎꪸ","tiền nong tiêu vung","cxđ. d. cxđ. t."
"* ꪹꪚꪱ꪿ ꪭꪴ꫁ ꪊꪰ꪿ꪉ ꪖꪱꪣ","không biết mới hỏi","SYM cxđ. đg. cxđ. cxđ."
"ꪖꪱꪣ ꪛꪱꪥ ꪙ꫁ꪮꪉ ꪭꪸꪙ","hỏi bài học sinh","cxđ. d. cxđ."
"ꪖꪱꪣ ꪬꪱ ꪛ꫁ꪱꪙ ꪹꪡꪉ","thăm hỏi bạn bè","cxđ. d."
"ꪠꪱꪀ ꪁꪫꪱꪣ ꪖꪱꪣ ꪄ꪿ꪱꪫ","gửi lời hỏi thăm","cxđ. đg. cxđ."
"ꪵꪎ ꪚꪲꪙ ꪣꪱ ꪖ꪿ꪱꪣ","máy bay đến thám thính","d. đg. cxđ."
"ꪝꪾꪚ ꪎꪳ ꪼꪫ꫁ ꪹꪕꪸꪉ ꪖ꫁ꪱꪙ","quyển sách để trên gác","cxđ. cxđ. cxđ. cxđ."
"ꪹꪋ꪿ꪉ ꪼꪫ꫁ ꪖ꫁ꪱꪙ ꪵꪭ꫁ꪉ","đồ để gác xép","cxđ. cxđ. cxđ."
"ꪖꪱꪉ ꪜ꪿ꪱ","phát rừng","cxđ. d."
"ꪼꪒ꫁ ꪖꪱꪉ ꪊꪳ꪿ꪀ","được thăng chức","t. cxđ. cxđ."
"ꪖꪱꪉ ꪊꪸꪉ ꪜꪴꪀ ꪢꪱꪀ ꪖ꪿ꪺ","ra giêng trồng đậu","cxđ. cxđ. cxđ."
"ꪖ꪿ꪱꪉ ꪄꪱ ꪮꪮꪀ","doãng chân ra","cxđ. đg. đg."
"ꪖ꪿ꪱꪉ ꪮꪮꪀ ꪕꪾꪚ","căng nọc ra mà đánh","cxđ. đg. cxđ."
"ꪖ꪿ꪱꪉ ꪁꪷ ꪮꪮꪀ ꪕꪾꪚ","nọc cổ ra mà đánh","cxđ. đg. cxđ."
"ꪖ꪿ꪱꪉ ꪹꪅꪷ꫁ꪉ ꪄꪱ ꪮꪮꪀ","doãng rộng chân ra","cxđ. đg. đg."
"ꪹꪋꪀ ꪭꪲ ꪖ꪿ꪱꪉ ꪖ꫁ꪱꪥ","dây dài lòng thòng","cxđ. d. cxđ."
"ꪗ꪿ꪱꪉ ꪢꪴ ꪼꪜ","giong lợn đi","cxđ. d. cxđ."
"ꪶꪀ꪿ꪥ ꪗ꫁ꪱꪉ ꪠꪱ ꪔꪴ","đá văng cánh cửa","đg. cxđ."
"ꪵꪖ꪿ꪉ ꪁꪷ꫁ ꪹꪚꪱ꪿ ꪹꪥꪸꪒ ꪼꪒ꫁","thánh cũng không làm được","cxđ. p. cxđ. cxđ. t."
"ꪜꪽ ꪵꪖ꪿ꪉ ꪮꪮꪀ","chia làm một phần tư","cxđ. cxđ. đg."
"ꪤꪴ꪿ ꪙꪮꪀ ꪵꪗꪉ","ở ngoại thành","p. cxđ. d."
"ꪖ꪿ꪱꪫ ꪎ꫁ꪺꪉ ꪹꪎ꫁ ꪻꪢ꪿","bộ quần áo mới","cxđ. cxđ. d."
"ꪀꪲꪙ ꪹꪄꪱ꫁ ꪖ꪿ꪱꪫ ꪮꪮꪀ ꪎꪸ","ăn cơm vào nôn mửa ra","d. d. cxđ. đg. t."
"ꪖ꫁ꪱꪫ ꪶꪮ꪿ꪉ","tháo súng","cxđ. d."
"ꪮꪴꪀ ꪖꪱꪚ ꪹꪗꪸ꫁ꪉ","vú thỗn thện","cxđ. cxđ."
"ꪠꪮꪣ ꪖꪱꪚ ꪹꪗꪸ꫁ꪉ","gầy nhom","cxđ. cxđ."
"ꪊꪮꪣ ꪗꪱꪒ","đỉnh tháp","cxđ. cxđ."
"ꪶꪁꪙ ꪹꪖꪱ꫁","người già","d. đ."
"ꪹꪖꪱ꫁ ꪙ꫁ꪽ ꪹꪚꪱ꪿ ꪊꪴꪚ ꪁꪺꪙ","cụ ấy không hút thuốc","đ. d. cxđ. cxđ. d."
"ꪹꪖꪱ꫁ ꪁꪩꪷ꫁ ꪜꪱꪀ ꪵꪮ꪿ ꪬꪺ","bố phượu nói buồn cười","cxđ. đg. cxđ."
"ꪹꪖꪱ꫁ ꪣꪱ ꪮꪸ꪿ꪫ ꪵꪭꪉ","về già yếu sức","cxđ. cxđ. d."
"ꪣꪱꪀ ꪼꪖ","lưỡi cày","cxđ. d."
"ꪼꪖ ꪙꪱ","cày ruộng","d. d."
"ꪶꪩ꫁ꪣ ꪬꪺ ꪼꪖ ꪶꪩꪉ ꪘꪮꪉ","ngã đầu chúi xuống ao","cxđ. d. d. cxđ. cxđ."
